mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0016759395599365234,0.0005386122051581193,0.0011354446411132812,0.00016940532455453816,0.004291934260128779,{'alpha': 0.004291934260128779},-0.06809075491699698,-0.22320706490550243,-0.08534328890468658,-0.05040561264550805,-0.011037136002979545,-0.08761677147513472,0.07213913310908565,40,-6.0610225454859016e-05,-0.0030947482301022363,-0.011335919430449986,-0.011091411915410123,-0.011607363422275113,-0.007438010644738463,0.004882919243212253
0.0015993118286132812,0.0003784045514585292,0.0008468151092529297,0.00043036265088227163,0.0062505519252739694,{'alpha': 0.0062505519252739694},-0.06422307588800448,-0.16240879519367532,-0.0809178928203588,-0.05015115264898346,-0.011028714620958507,-0.0737459262343961,0.04998677442810619,39,-6.968651544964432e-05,-0.0033316270333652977,-0.011349740214311616,-0.01109227002017038,-0.011607723838563339,-0.007490209524372056,0.004841130263688455
0.0023621082305908202,0.0006729317256096756,0.0005162715911865235,0.0003176896424346645,0.009102981779915217,{'alpha': 0.009102981779915217},-0.061503488485670124,-0.12015512054254775,-0.07495471403609459,-0.04978559642681439,-0.011016642303519739,-0.06348311235892931,0.03546148753244558,32,-7.719018327168591e-05,-0.00370930338984317,-0.011377101272205,-0.011094058112468734,-0.011608476600266399,-0.007573225911610998,0.004780573692781839
0.001527118682861328,0.000459316109724248,0.001110410690307617,0.00013156883403436407,0.013257113655901081,{'alpha': 0.013257113655901081},-0.05960474149669597,-0.09022448548954551,-0.06717549787974242,-0.04926355691883851,-0.010999482432932764,-0.05545355284355104,0.02599282418421646,29,-8.314797692051122e-05,-0.004309413718148807,-0.011429840126551738,-0.01109775737056845,-0.011610039096965919,-0.007706039657831084,0.004695895994323635
0.0017306804656982422,0.0005469071516363053,0.0010267734527587891,0.00030468725053678825,0.019306977288832496,{'alpha': 0.019306977288832496},-0.05826582058384645,-0.0689441628000589,-0.05746993991427324,-0.04852429617190657,-0.010975419977992514,-0.048835927889615535,0.020006625526228897,26,-8.781868959097021e-05,-0.005224694250933376,-0.011527992433882348,-0.011105336106599547,-0.011613255378792594,-0.007911819371959766,0.00459154687125452
0.001837778091430664,0.0012490551204824385,0.0011979103088378905,0.000344314421197902,0.02811768697974228,{'alpha': 0.02811768697974228},-0.05729530750217482,-0.05480524754184524,-0.04607480079424332,-0.04748971070276331,-0.010942416052665285,-0.04332149651873839,0.016736209109038842,22,-9.160865538868128e-05,-0.006525761307115437,-0.011702663527493065,-0.011120660816744284,-0.011619802946288582,-0.00821209945060601,0.004495382453125303
0.0013208866119384765,0.0007742689134757578,0.001023244857788086,0.0005361851904951274,0.040949150623804234,{'alpha': 0.040949150623804234},-0.0565603387214029,-0.047293720388885796,-0.03375231141481594,-0.04606538573281589,-0.010898778637752819,-0.03891410697913467,0.015774986268994477,17,-9.505052196132287e-05,-0.008216873256326881,-0.011996717297914216,-0.011151113404427804,-0.01163293997267304,-0.008618538890660653,0.004465956250466681
0.0017697811126708984,0.0005871666741107067,0.0014276981353759765,0.0003884922406786181,0.05963623316594643,{'alpha': 0.05963623316594643},-0.055975076195403345,-0.045665269697509225,-0.021842594104160534,-0.044148318469558585,-0.010844595394696892,-0.035695170772265715,0.016682794247276193,8,-9.884993249738129e-05,-0.010208876391164325,-0.012459837802369006,-0.011210243005263928,-0.01165880154134336,-0.009127321734527601,0.004572432130281877
0.001563692092895508,0.001209098556321677,0.0013923168182373047,0.000617744340161516,0.08685113737513521,{'alpha': 0.08685113737513521},-0.05549357056681825,-0.04837878882868293,-0.012040619402431167,-0.04164623858842395,-0.010784657924788194,-0.0336687750622289,0.018696556167073823,4,-0.00010398291713641634,-0.01233639038385238,-0.013135190648047468,-0.011321568762998559,-0.011708454767710468,-0.009721117495949057,0.0048475927832896115
0.001476287841796875,0.0005777833504458724,0.0014937400817871093,0.0003798836996543437,0.12648552168552957,{'alpha': 0.12648552168552957},-0.055105680703348495,-0.053375205405036624,-0.005868232317313807,-0.03851257759809676,-0.01073338927840324,-0.03271901706043978,0.02081220142120304,2,-0.0001118036198196886,-0.014414196709710938,-0.014039831839564254,-0.011522759294446487,-0.011800693752330272,-0.01037785704317433,0.005261733852450411
